no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
2320,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2321,다른 맥주에 비해서 부드럽고 맛이 진하고 색감도 먹음직스러워요,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,색상이 맛있어 보인다/병 색상이 맥주가 맛있을 것 같다,112,115,288
2322,밀러 생맥주의 크리미한 느낌이 너무 좋아서 밀러를 좋아한다,부드럽다,,,14,,
2323,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2324,맛있다 깔끔하고 먹기쉬운 술..,맛이 깔끔하다,마시기 편하다,,102,613,
2325,병 디자인이 심플하며 매력적이다.  맛도 깔끔하고 부드럽다.  그동안 자세히 생각은 안해봤었는데 외국산 맥주에 대한 이미지가 살짝 고급스럽거나 하는 것도 내가 호가든에 대해 호의적으로 생각하는데 대한 이유가 될것같다.,디자인이 깔끔하다/깔끔한 맛을 느끼게 하는 디자인이다,맛이 깔끔하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,252,102,112
2326,카~아스 소리가  맥주마시고 캬~하는것과 비슷해서 그냥 끌린다,맥주를 마시고 카 하는 소리와 유사하다,,,634,,
2327,맛이 좋다  다른 맥주보다 깔끔하고   잘 넘어간다,맛이 깔끔하다,목 넘김이 좋다 ,,102,173,
2328,카프리가 전반적으로 맛이 부드럽다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
2329,사는 지역에 거의 화이트만 있어서,우리 지역 상품이라 좋다,,,638,,
2330,부드러운 마시 달콤한 향기,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,향이 달콤하다,,112,240,
2331,맛이 깔끔합니다 내 입맛에 맞음,맛이 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,102,107,
2332,맥주순수령에 잘 부합하는 맥주이고 첨가물이 적어서 좋다.  또한 맥주의 이미지가 깨끗하고 부드러우면서도 결코 싸보이지 않는 것에서 호감이 간다,순수하다,다른 맛이 첨가되지 않았다,깔끔하다,636,595,1
2333,국산이라는 점과 시원한 맛,국산 브랜드이다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,371,103,
2334,부드럽고 맛있어서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,112,107,
2335,접하기 쉽고 저렴하다,구입이 용이하다,가격이 저렴하다 ,,21,11,
2336,목넘김이 부드러워서,목 넘김이 부드럽다 ,,,171,,
2337,깔금해서 목넘김이 시원하다,맛이 깔끔하다,목 넘김이 시원하다,,102,175,
2338,맛이 깔끔하고 부드러움,맛이 깔끔하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,102,112,
2339,친근해ㅅ,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2340,거품이 부드럽고 목넘김이 좋다,거품이 부드럽다,목 넘김이 좋다 ,,183,173,
2341,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2342,부드럽고 덜 쓰고   탄산이 적당해서 맥주맛이 더 풍부하게 느껴진다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,쓴 맛이 덜 하다,탄산이 적당하다,112,119,110
2343,평소에 계속마셔서 그런지 이술이 가장 익숙함. 목넘김이 시원하고 계속먹어도 질리지 않음. 그래서 자주 마시게됨. 한캔정도는 부담없음. 거품도 풍부하고 입맛에 맞음.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,목 넘김이 시원하다,빨리 질리지 않는다,3,175,132
2344,다른 맥주에 비해 도수가 높아 빨리 취할수 있어서,도수가 높다/빨리 취해서 좋다,,,610,,
2345,뭔가 친근감있고 오래된상표,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,전통 있다,,3,366,
2346,톡쏘는 느낌이 좋다,톡 쏘는 맛이 있다,,,104,,
2347,맛있어서 풍부한 맛이 좋아서 맥주 상표에 어울려서,맛이 풍부하다/맛이 깊다,브랜드 명이 맥주와 잘 어울린다/상표가 맥주와 잘 어울린다,,70,522,
2348,부드러워서,부드럽다,,,14,,
2349,톡쏘는맛이 다른 맥주보다 시원함,톡 쏘는 맛이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,104,103,
2350,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2351,선전이 맘에 들어서,광고가 좋다/광고 이미지가 좋다,,,301,,
2352,맛이 깊고 진하면서 싸다,맛이 풍부하다/맛이 깊다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,가격이 저렴하다 ,70,115,11
2353,상표 이미지가 좋다,상표 디자인이 마음에 든다,,,710,,
2354,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2355,주위사람들이 좋아해서,주변에서 추천하는 맥주다,,,179,,
2356,흑맥을 주로 좋아한다. 기네스는 깊은 맥주맛이 있어서 개인적으로 묵직한 목넘김을 선호한다. 그래서 가장 좋아한다. 조금 비싸지만,흑맥주를 좋아한다,맛이 풍부하다/맛이 깊다,목 넘김이 묵직하다,69,70,973
2357,맛과 병모양,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,디자인이 좋다,,107,254,
2358,거품이 부드러워 목넘길때 기분이 좋다,거품이 부드럽다,목 넘김이 좋다 ,,183,173,
2359,내 입맛에 맞음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2360,이름에서도 깔끔한 맥주 맛과 고급스러움 그리고 진취적이고 활동적인 연봉 높은 직장인들의 분위기가 난다.    ,맛이 깔끔하다,브랜드 이미지가 고급스럽다,도전정신이 느껴지는 브랜드다,102,129,213
2361,맛이 좋아요  그리고 상표가 참 이쁩니다.  달콤할거 같은 느낌,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,상표 디자인이 마음에 든다,달콤하다/꿀맛이 난다,107,710,108
2362,집에서 마실 때 자주 먹는 브랜드다. 목넘김이 좋다 예전부터 꾸준히 먹고 있다,집에서 마시기 좋다,목 넘김이 좋다 ,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,791,173,3
2363,산뜻한 이미지에 맛도 다른 맥주에 비해 목넘김이나 입감이 좋음,상큼하다/산뜻하다,목 넘김이 좋다 ,,29,173,
2364,맛잇다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2365,차승원이 선전하는 광고도 맘에 들고 외국에서 먹었을때의 맛을 잊지 못해서 자주 먹는다,광고 모델이 좋다 ,여행에서 마신 기억/추억이 깃든 상표다,,303,617,
2366,맥주만 파는곳에 아는 형이랑 처음 갔을때 그 형이 저한테 무슨 맥주  먹냐고해서 저는 그냥 아무거나 먹는다고 하니까 형이 그럼 안된다고  네 입맛에 맞는걸 오늘 골라보자해서 거기 있는맥주를 거의다 먹었습니다  그 중에 밀러가 저한테 가장 맞고 지금도 밀러를 주로 먹습니다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2367,심플하고 깔끔한 맛,심플하다,맛이 깔끔하다,,41,102,
2368,톡쏘는 맛이 좋고 개운한 듯 느낌을 준다,톡 쏘는 맛이 있다,맛이 개운하다 ,,104,122,
2369,맛과향,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,향이 좋다,,107,204,
2370,저렴하고 시원함,가격이 저렴하다 ,시원하다,,11,2,
2371,많이 안쓰고 목넘김이 좋다,쓴 맛이 덜 하다,목 넘김이 좋다 ,,119,173,
2372,깔끔함 .. 입맛에 맞아서,맛이 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,102,107,
2373,아사히 맥주랑 맛이 비슷해서. 아사히 맥주의 대체품으로 만족,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2374,좋아하는 맥주라서,선호하는 제품이다,,,4,,
2375,시원하고 목넘김이 좋다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,목 넘김이 좋다 ,,103,173,
2376,쏘는 맛과 뒷맛이 깔끔해서,톡 쏘는 맛이 있다,뒷맛이 깔끔하다,,104,153,
2377,"평소 맥주보단 소주를 더 많이 마시는 편인데, 오비골든라거는 다른 맥주보다 더 깔끔하고 시원한 맛이 나는 것 같다. 특히 야구장에 가면 맥주를 많이 마시게 되는데 그럴 때 애용하는 편이다.  ",맛이 깔끔하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,프로야구단 때문에 좋아한다,102,103,417
2378,음료수같이 거부감이 없다,음료수란 느낌이 난다/음료 대용으로 좋다,가볍게/무난하게/부담 없이 마실 수 있다,,35,601,
2379,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2380,레몬맛이 맛있게 느껴지는 고품격 센스있는 맥주.,레몬 맛이 난다,맛이 고급스럽다,,111,64,
2381,없음  ,없음,,,998,,
2382,친근감 그리고 자주마셔보니까 친근하게 느겨짐,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2383,옛날부터 마시던거라서  좀더 친근한느낌,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2384,거품이 굉장히 부드러움..,거품이 부드럽다,,,183,,
2385,목넘김이 부드럽고 맥주맛이 좋다,목 넘김이 부드럽다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,171,107,
2386,깨끗한맛,맛이 깔끔하다,,,102,,
2387,"시원한맛, 젊음, 소맥할때 제일 맛있음",맛이 시원하다/맛이 상쾌하다/청량감이 있다,이미지가 젊다/젊은 층이 많이 마신다,다른 주류와 섞어 마실 경우 맛이 좋다,103,504,488
2388,부르기 편함,브랜드 명이 쉽다/브랜드명이 간결하다,,,42,,
2389,맛이 부드럽다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
2390,찾기 쉽고 친구들이랑 자주 마셔서,구입이 용이하다,주변 사람들과 함께 마시기 좋다,,21,831,
2391,국산맥주중에 맛이 가장 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2392,맛이 부드러워,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
2393,광고가 맥주를 먹고 싶게 만들었음,광고를 보면 마시고 싶다/광고가 맛있을 것 같이 느껴진다,,,407,,
2394,부드럽다 특히 아사히 생의 경우 거품이 부드러워좋다,거품이 부드럽다,,,183,,
2395,깔끔하고 맛이 괜찮습니다,맛이 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,102,107,
2396,"첫째로는 광고가 맘에들어서? 광고에나오는 아이돌 2ne1의 CL 을 좋아하기떄문에, 그리고 두번째는 카스 라이트가 맛이 깔끔하고 현 맥주중에서 제일 맛있습니다.",광고가 좋다/광고 이미지가 좋다,광고 모델이 좋다 ,맛이 깔끔하다,301,303,102
2397,"캔, 병 이뻐서",디자인이 예쁘다,,,253,,
2398,맥주 맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2399,다른맥주에 비에 맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2400,맛있어요.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2401,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2402,알콜성분 도수가 그렇게 높지않고 적당히 쏘는것이 좋아서   여자들이 부담없이 먹을수있으니까,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,톡 쏘는 맛이 있다,여성적이다/여성이 마시기에 좋다,84,104,30
2403,그냥 대중적이라서..김연아 관고가 한몫 했음.,대중적/보편적이다,광고 모델이 좋다 ,,22,303,
2404,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2405,"광고로도 자주 접해서 그런지 이미지가 좋아보이고, 친구들과 자주 먹다보니 더 손이 가는 것 같습니다. 맛도 나쁘지 않구요.",광고를 많이 한다,느낌이 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,302,9,3
2406,깨끗함 순수함 정통의,깔끔하다,전통 있다,,1,366,
2407,술이라는 느낌보다는 탄산음료를 마신다는 느낌이 강해서 부담없이 마실 수 있으면서 맥주를 마셨을 때처럼 알딸딸해지는 느낌도 있으니 술을 잘 마시는 편이 아닌 나에게는 딱 좋은 맥주라고 생각한다.   맛도 여러가지라서 취향에 맞게 고를 수 있고 무엇보다 맛이 좋다.,음료수란 느낌이 난다/음료 대용으로 좋다,가볍게/무난하게/부담 없이 마실 수 있다,도수가 높다/빨리 취해서 좋다,35,601,610
2408,칼로리는 낮으면서 탄산이 많아서 좋습니다. 더불어 맥주 고유의 향인 보리 냄새가 많이 안나서 좋습니다.,칼로리가 적다/다이어트에 좋다,탄산이 풍부하다,보리 향이 은은하다,46,61,957
2409,여자들이 좋아하는 레몬맛이 첨가되어 있기 때문에,여성적이다/여성이 마시기에 좋다,레몬 맛이 난다,,30,111,
2410,깔끔해서 보기가 좋다.  시원한 느낌이 들어서 맥주 마실때의 상쾌한 기분이 느껴진다.,깔끔하다,시원하다,,1,2,
2411,구수함과 깊은 맛에 반했죠 ㅎ,맛이 고소하다,맛이 풍부하다/맛이 깊다,,116,70,
2412,그냥 입맛에 가장 적당한 것 같아요  시지도 않고,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,신맛이 강하지 않아 좋다,,107,86,
2413,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2414,주변 사람들이 즐겨 마시다보니 그 맛에 길드여짐 거기다 톡 쏘는 맛이 좋아서 즐겨마심,주변에서 추천하는 맥주다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,톡 쏘는 맛이 있다,179,3,104
2415,맛이 비교적 순해서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
2416,시원한 느낌,시원하다,,,2,,
2417,한국음식과문화히잘맞는듯,한국인의 입맛에 맞는다,,,68,,
2418,맥주의 맛이 깔끔하고 맛있다.,맛이 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,102,107,
2419,진한 풍미가 느껴져서 좋다~,풍미가 풍부하다,,,886,,
2420,산뜻해서....? 좀 간편하게 먹을 수 있는 기분  카프리 한병 정도,상큼하다/산뜻하다,마시기 편하다,,29,613,
2421,맥주가 맛있어서~,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2422,맥주 맛이 좋고 맥주 중에서 제일 괜찮다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2423,집에서 자주 먹는 캔맥주가 하이트이기 때문에   처음 접한 맥주가 하이트였다  그래서 다른 맥주를 마시면 뭔가 다른느낌이났기때문에  하이트를 찾게되었다.  하이트에 이미 적응을 한것 같다  ,집에서 마시기 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,처음 마셔본 맥주이다,791,3,631
2424,깔끔한맛,맛이 깔끔하다,,,102,,
2425,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2426,맛이 부드럽고 목넘김이 깔끔하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 깔끔하다,,112,172,
2427,부드러움  과   깔끔함 맛이 인상깊음  ,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 깔끔하다,,112,102,
2428,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2429,그냥..어쩌다보니,모름,,,999,,
2430,다른 맥주에 비해 맛이 깔끔,맛이 깔끔하다,,,102,,
2431,시원하고 깨끗해서 좋다,시원하다,깔끔하다,,2,1,
2432,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2433,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2434,고소한맛때문,맛이 고소하다,,,116,,
2435,부드러운 맥주,부드럽다,,,14,,
2436,"맥주하면 떠오르는 원조의 이미지.  부산의 대표 주종인 것 같고, 친근한 느낌이다.",병맥주의 원조이다,우리 지역 상품이라 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,530,638,3
2437,부드러움,부드럽다,,,14,,
2438,배부름이 덜해서 좋다 맥주의 단점은 배가 금방 부르다는 것을 해결해주는 제품이다,포만감이 덜 하다,,,12,,
